job_title,company,location,required_skills,years_experience,job_description,url,,,,,
LLM Prompt Engineering Developer,Astoria AI,Remote,"LLMs,Python,Prompt Engineering,DSPy,ChatGPT",2,Design LLM-driven prompt engineering software for production AI applications. You will implement prompt programming frameworks like DSPy to build reliable AI systems. The role requires at least 2-3 years of software development experience with a recent focus on prompt engineering. You will collaborate with engineers and researchers to improve model quality. A passion for pushing the limits of large language models is essential.,https://www.linkedin.com/jobs/view/llm-driven-prompt-engineering-software-developer-at-astoria-ai-3884742189,,,,,
AI Engineer GenAI Google Cloud Consulting,Google,"Atlanta, GA","GenAI,Python,Google Cloud,SQL,Business Analysis",1,Design and implement machine learning and generative AI solutions for enterprise clients as part of Google Cloud's consulting practice. You will help clients apply generative AI to real-world business challenges and workflows. The role involves conducting workshops, building proof-of-concept models, and presenting results to stakeholders. You will work cross-functionally with product and engineering teams to deliver scalable AI solutions. Strong communication and technical skills are essential.,https://www.linkedin.com/jobs/view/ai-engineer-generative-ai-google-cloud-consulting-at-google-3713037049,,,
Junior Data Scientist,Piper Companies,Remote,"Python,SQL,Machine Learning,Pandas,Statistics",1,Entry-level data science position open to recent graduates with familiarity in machine learning and cloud tools. You will analyze data and build predictive models to support business decisions. The role involves working with AWS SageMaker and other ML frameworks to develop and deploy models. You will communicate findings to stakeholders through visualizations and reports. A proactive learning mindset is required.,https://www.linkedin.com/jobs/view/junior-data-scientist-100%25-remote-recent-grads-welcome-at-piper-companies-2930885249,,,,,
Robotics Software Engineer Motion Planning,Intrinsic,"Mountain View, CA","ROS,C++,Motion Planning,Python,Sensor Fusion",3,Design and implement motion planning algorithms for autonomous robotic systems. You will work on integrating perception and planning modules in the Robot Operating System (ROS) ecosystem. The role involves hands-on testing and debugging of robotic software in real and simulated environments. You will collaborate with a team of engineers and researchers to deploy next-generation robotic capabilities. Strong C++ skills and deep knowledge of motion planning are required.,https://www.linkedin.com/jobs/view/robotics-software-engineer-motion-planning-at-intrinsic-4061318945,,,,,
Computer Vision Engineer,W3Global,"Los Angeles, CA","OpenCV,Python,TensorFlow,Image Processing,Object Detection",1,Develop computer vision algorithms for biometric feature detection and identification including Face ID and Palm ID recognition. You will build and optimize models for real-time object detection and image analysis. The role involves strong expertise in OpenCV and proficiency in TensorFlow and Keras. You will work with a cross-functional team to bring computer vision products to market. Attention to detail and a keen interest in AI-powered security systems are essential.,https://www.linkedin.com/jobs/view/computer-vision-engineer-at-w3global-3206226084,,,,,
Senior Computer Vision Engineer,Recruiting from Scratch,"Bethesda, MD","OpenCV,Python,TensorFlow,PyTorch,Object Detection",3,Design and deploy computer vision algorithms for object detection, image segmentation, and image recognition. You will build production-ready CV pipelines using OpenCV, TensorFlow, and PyTorch. The role involves collaborating with cross-functional teams on computer vision applications across industries. You will lead technical design discussions and mentor junior engineers. Proficiency in Python and deep experience with computer vision libraries is required.,https://www.linkedin.com/jobs/view/senior-computer-vision-engineer-at-recruiting-from-scratch-3723379802,
Senior Robotics Engineer Motion Planning,eBots,"Fremont, CA","ROS,MoveIt,Python,C++,Motion Planning",4,Lead the development of motion planning and robot control algorithms for autonomous assembly robots. You will design and integrate motion planning systems using ROS and MoveIt for industrial robotic manipulators. The role involves deep knowledge of robotic system design, integration, debugging, verification, and testing. You will work with hardware engineers to optimize robot performance in production environments. Strong proficiency in Python and C++ is required.,https://www.linkedin.com/jobs/view/senior-robotics-engineer-motion-planning-at-ebots-3477517297,
Machine Learning Research Scientist NLP,Toyota Research Institute,"Los Altos, CA","Python,PyTorch,NLP,Transformers,Research",3,Conduct research and development in natural language processing for automotive AI applications. You will experiment with transformer architectures to improve language understanding in safety-critical contexts. The role involves publishing research and collaborating with interdisciplinary teams of engineers and scientists. You will contribute to production NLP systems that enhance in-vehicle experiences. A PhD or equivalent experience in NLP or ML is preferred.,https://www.linkedin.com/jobs/view/machine-learning-research-scientist-natural-language-processing-at-toyota-research-institute-3484420693,,,,,
Post-Doc Researcher FATE Microsoft Research,Microsoft,"New York, NY","AI Ethics,Research,Python,Policy,Statistics",2,Join Microsoft Research's Fairness Accountability Transparency and Ethics (FATE) group to conduct interdisciplinary AI research. You will work on topics including AI bias, transparency, and the societal impacts of AI decision-making. The role involves publishing research and collaborating with computer scientists, statisticians, social scientists, and legal experts. You will contribute to Microsoft's responsible AI initiatives and help shape industry standards. A strong academic record and passion for responsible AI are required.,https://www.linkedin.com/jobs/view/post-doc-researcher-%E2%80%93-fate-%E2%80%93-microsoft-research-at-microsoft-2782677805
AI Specialist,OpenAI,"San Francisco, CA","Python,AI APIs,REST APIs,Troubleshooting,Documentation",1,Provide technical assistance and solve technical challenges for developers and businesses using OpenAI's AI products and APIs. You will debug integration issues and help customers optimize their use of AI models. The role involves writing technical documentation and tutorials to support a growing developer community. You will act as a bridge between customers and the product engineering team. Excellent communication skills and a working knowledge of AI systems are key.,https://www.linkedin.com/jobs/view/ai-specialist-at-openai-3238537266,,,,,
Junior Machine Learning Operations MLOps Scientist,Fraunhofer Portugal AICOS,Remote,"Docker,Python,MLflow,Kubernetes,CI/CD",2,Support the deployment and monitoring of machine learning models in production as a junior MLOps scientist. You will help automate the ML lifecycle using CI/CD pipelines and model versioning tools. The role involves monitoring model performance and flagging when retraining is needed. You will collaborate closely with ML engineers to ensure models are scalable and reliable. Familiarity with Docker, MLflow, and Kubernetes is preferred.,https://pt.linkedin.com/jobs/view/junior-machine-learning-operations-mlops-scientist-at-fraunhofer-portugal-aicos-4263057312,,,
Healthcare Data Analyst,Sentara Health,"Virginia Beach, VA","SQL,Python,Healthcare Analytics,Tableau,HIPAA",2,Provide data analysis support through the development of reports and dashboards for monitoring program and operational performance in healthcare settings. You will ensure all data handling complies with HIPAA and other data privacy regulations. The role involves identifying data quality issues and working with data engineers to resolve them. You will assist in building ML-informed dashboards to track clinical outcomes. A background in health informatics or data science is preferred.,https://www.linkedin.com/jobs/view/healthcare-data-analyst-at-sentara-health-3734758222,,,,,
Data Analyst Quality and Safety,MaineHealth,"Scarborough, ME","SQL,Python,Data Analysis,Tableau,Healthcare Analytics",2,Analyze quality and safety data across lab systems to support clinical decision-making. You will develop and maintain dashboards to help clinical stakeholders track key performance metrics. The role involves collaborating with IT and clinical teams to ensure accurate and timely data reporting. You will identify patterns in healthcare data and communicate findings to medical leadership. Strong SQL and data visualization skills are required.,https://www.linkedin.com/jobs/view/data-analyst-quality-and-safety-lab-systems-at-mainehealth-3826849469,,,,,
Senior Health Informatics Analyst,UC Davis Health,"Sacramento, CA","Python,ML,Health Informatics,SQL,Data Engineering",4,Work across data provisioning, health analytics, and health computing cores to support augmented intelligence and machine learning initiatives. You will lead analytical projects that improve patient outcomes and hospital operations. The role involves integrating clinical data from electronic health records with ML pipelines. You will collaborate with clinicians, data scientists, and engineers to deploy AI tools in real-world healthcare settings. Deep knowledge of health informatics and ML is required.,https://www.linkedin.com/jobs/view/senior-health-informatics-analyst-49060-at-uc-davis-health-3472367864,
Machine Learning Engineer Principal OpenShift AI,Red Hat,Remote,"Kubernetes,Python,MLflow,Docker,CI/CD,MLOps",4,Contribute to open-source MLOps projects including KubeFlow, KServe, MLFlow, Ray, and Seldon Core for OpenShift AI. You will build and maintain infrastructure for training and deploying ML models at enterprise scale. The role involves troubleshooting performance bottlenecks in AI training and inference pipelines. You will collaborate with AI researchers and platform engineers to optimize GPU utilization. Knowledge of Kubernetes and cloud-native technologies is required.,https://www.linkedin.com/jobs/view/principal-machine-learning-engineer-openshift-ai-at-red-hat-3719973379,
AI/ML Engineer Computer Vision,Tristar AI,"Cambridge, MA","Python,TensorFlow,PyTorch,OpenCV,Computer Vision",3,Design and build AI and machine learning solutions with a focus on computer vision applications. You will develop and deploy models for image classification, object detection, and scene understanding. The role involves end-to-end ML development from research to production deployment. You will collaborate with a cross-functional team to define requirements and deliver computer vision products. Strong Python skills and hands-on experience with CV frameworks are required.,https://www.linkedin.com/jobs/view/3810666031,,,
2026 Summer Intern PhD Data Science,Waymo,"Mountain View, CA","Python,Statistics,Data Science,Machine Learning,SQL",1,Join Waymo as a PhD-level data science intern for summer 2026 and apply advanced statistical and ML methods to autonomous vehicle data. You will work on large-scale datasets to uncover insights and improve model performance. The role involves collaborating with senior data scientists and engineers on real-world autonomous driving problems. You will have the opportunity to present findings and potentially contribute to publications. Strong programming and statistical skills are required.,https://www.linkedin.com/jobs/view/2026-summer-intern-phd-data-science-at-waymo-4300790143,,,,,
AI Developer Hugging Face NLP Specialist,XGenia,Remote,"Python,Hugging Face,NLP,Transformers,PyTorch",2,Develop NLP-powered applications using Hugging Face's model ecosystem and transformer-based architectures. You will fine-tune and evaluate language models for a variety of downstream tasks. The role involves building end-to-end NLP pipelines from data preprocessing to model deployment. You will collaborate with product teams to define and deliver AI-driven natural language features. Proficiency in Python and deep familiarity with the Hugging Face library are required.,https://www.linkedin.com/jobs/view/ai-developer-%E2%80%93-hugging-face-nlp-specialist-at-xgenia-4243594659,,,,,
Generative AI Expert Consultant,The AES Group,"Seattle, WA",GenAI,3,Lead the design and implementation of Generative AI solutions for enterprise clients across industries. You will assess client needs and develop custom AI-driven automation using LLMs and generative AI frameworks. The role involves preparing workshops and training materials for client teams adopting AI tools. You will measure ROI and track efficiency gains from AI implementations. Strong client-facing communication skills and hands-on GenAI experience are required.,https://www.linkedin.com/jobs/view/generative-a-i-expert-consultant-at-the-aes-group-3734782390,,,,,
