job_title,company,location,required_skills,years_experience,job_description,url
Associate AI PM,SaaS Plat,"San Francisco, CA","Product Management,Agile,JIRA,User Research,Data Analysis",2,Assist in the development and launch of AI-powered features for a B2B SaaS platform. You will conduct market research to identify user needs and competitive AI trends. The role involves writing user stories and defining requirements for the engineering team. You will work closely with UX designers to ensure AI features are intuitive for users. Tracking key performance metrics to evaluate AI feature success is a core responsibility.,Link
CV Research Asst,Uni-Spin,"Pittsburgh, PA","OpenCV,MATLAB,Computer Vision,PyTorch,Data Labeling",1,Support senior researchers in developing computer vision models for medical imaging. You will be responsible for managing image datasets and performing initial data analysis. The role involves implementing baseline models and running comparative experiments. You will assist in preparing technical reports and presentations for grant funding. Attention to detail and a strong interest in healthcare AI are essential.,Link
BI Developer (AI),FinTech,"Charlotte, NC","PowerBI,SQL,DAX,Statistics,Python,Tableau",3,Modernize traditional BI reporting by integrating AI-driven forecasting and insights. You will design and maintain complex data models that feed into executive dashboards. The role involves using ML libraries to add predictive capabilities to business reports. You will work with business units to understand their data needs and provide AI solutions. Proficiency in SQL and experience with a major BI tool like PowerBI is required.,Link
AI Systems Eng,Cloud Infra,Remote,"Kubernetes,Python,GPUs,Docker,Terraform,CI/CD",3,Build and maintain the infrastructure used for training and deploying large-scale AI models. You will work on optimizing GPU utilization and managing containerized AI workloads. The role involves troubleshooting performance bottlenecks in the AI training pipeline. You will collaborate with AI researchers to provide the necessary compute resources. Knowledge of Kubernetes and cloud-native technologies is a significant advantage.,Link
Junior AI Researcher,Non-Profit,"Washington, DC","Policy,Ethics,Research,Writing,Python",1,"Focus on the ethical implications and societal impact of artificial intelligence technologies. You will assist in conducting studies on AI bias and transparency in decision-making. The role involves analyzing policy documents and contributing to technical white papers. You will collaborate with multidisciplinary teams including lawyers, sociologists, and engineers. A strong academic record and a passion for responsible AI development are required.",Link
ML Ops Associate,Auto Tech,"Detroit, MI","CI/CD,Docker,Python,MLflow,Kubernetes,Git",2,"Support the deployment and monitoring of machine learning models in a production environment. You will help automate the ML lifecycle using CI/CD pipelines and versioning tools. The role involves monitoring model performance and identifying when retraining is necessary. You will work closely with ML engineers to ensure models are scalable and reliable. Familiarity with tools like MLflow, Docker, and Git is highly preferred.",Link
AI Content Strat,Creative Ag,"Los Angeles, CA","Midjourney,ChatGPT,Copywriting,Marketing,SEO",2,Leverage generative AI tools to create and optimize marketing content for various clients. You will develop custom prompts and workflows to generate high-quality text and images. The role involves staying ahead of the curve with new AI tools and techniques. You will work with the creative team to integrate AI into the standard design process. A blend of technical curiosity and creative flair is the ideal profile for this role.,Link
Applied ML - Search,Retailer,"Minneapolis, MN","ElasticSearch,ML,Python,Lucene,Ranking Algorithms",3,Improve the search experience for millions of customers using machine learning. You will help develop and tune ranking algorithms to provide more relevant results. The role involves analyzing search logs to identify patterns and areas for improvement. You will collaborate with the backend team to integrate ML models into the search engine. Knowledge of Information Retrieval (IR) concepts and ML frameworks is required.,Link
Data Quality AI,Label Co,Remote,"SQL,Python,Quality Assurance,Pandas,Data Validation",2,Ensure the highest quality of training data for large-scale AI models. You will develop automated scripts to detect anomalies and bias in diverse datasets. The role involves defining quality metrics and collaborating with data labeling vendors. You will participate in data auditing processes to ensure compliance with AI safety standards. This role is crucial for maintaining the integrity of foundational models.,Link
ML Software Eng,Chip Design,"San Diego, CA","C++,Linux Kernel,CUDA,Assembly,Profiling",4,Work at the hardware-software interface to optimize ML kernels for edge devices. You will implement efficient mathematical operations for neural network inference on specific hardware. The role involves benchmarking model performance and identifying optimization opportunities. You will collaborate with hardware designers to define future AI accelerator features. Strong proficiency in C++ and low-level programming is required.,Link
GenAI Analyst,Consulting,"Atlanta, GA","Excel,AI Tools,PowerPoint,Business Analysis,SQL",1,Assist clients in mapping business processes that can be enhanced by Generative AI. You will help implement low-code AI solutions to automate routine tasks. The role involves preparing training materials and workshops for client employees. You will track the ROI and efficiency gains of AI implementations. This position is ideal for business-oriented individuals with a strong interest in AI applications.,Link
Junior CV Eng,Security Tech,"Phoenix, AZ","OpenCV,Python,Image Processing,TensorFlow,Object Detection",1,Develop computer vision algorithms for real-time threat detection and monitoring. You will assist in training models for object detection and behavioral analysis. The role involves optimizing models for low-latency performance on surveillance cameras. You will work with a team of security experts to refine model requirements. Experience with image processing libraries like OpenCV is highly valued.,Link
AI Ops Analyst,IT Services,"Dallas, TX","Monitoring,Python,Prometheus,Grafana,Shell Scripting",3,Monitor the health and performance of enterprise AI services in production. You will respond to alerts and troubleshoot issues related to model inference and API uptime. The role involves documenting incident reports and suggesting process improvements. You will work with DevOps teams to streamline the deployment of AI updates. A foundational knowledge of cloud environments and scripting is necessary.,Link
Reinforcement Lrn,Gaming Studio,"Irvine, CA","Reinforcement Learning,PyTorch,Unity,Python,Game AI",3,Apply reinforcement learning to create intelligent non-player characters (NPCs) in games. You will design reward functions and training environments for complex agent behaviors. The role involves balancing model complexity with real-time performance requirements. You will collaborate with game designers to ensure AI behaviors enhance the player experience. Passion for gaming and a strong background in RL are required.,Link
Technical AI Support,API Provider,Remote,"REST APIs,Python,Troubleshooting,SQL,Documentation",1,Provide technical assistance to developers using AI APIs and SDKs. You will debug integration issues and help customers optimize their AI prompts. The role involves writing technical FAQs and tutorials based on common user challenges. You will serve as a bridge between the customer and the product engineering team. Excellent communication skills and a basic understanding of REST APIs are key.,Link
Medical AI Analyst,Health Systems,"Boston, MA","Data Privacy,ML,Python,HIPAA,SQL,Healthcare Analytics",2,Assist in the deployment of AI tools for medical diagnosis and patient monitoring. You will ensure that all AI implementations comply with healthcare data privacy regulations. The role involves analyzing the performance of clinical AI tools in real-world settings. You will work with medical staff to gather feedback and refine AI workflows. A background in health informatics or data science is preferred.,Link
Graph ML Intern,Social Network,"Menlo Park, CA","Graph Neural Networks,PyTorch,Python,Graph Theory,Distributed Computing",1,"Explore the application of graph neural networks to social graph data. You will help develop models for community detection and recommendation systems. The role involves working with extremely large, sparse datasets and distributed graph processing. You will contribute to internal research and potentially co-author technical papers. This is an advanced internship for students specializing in graph theory or ML.",Link
Speech AI Dev,Voice Tech,"Seattle, WA","Signal Processing,Python,PyTorch,Kaldi,TensorFlow",3,Develop and improve speech-to-text and text-to-speech models for voice assistants. You will work on acoustic modeling and language modeling to improve transcription accuracy. The role involves processing large volumes of audio data and managing training pipelines. You will collaborate with UX designers to create natural-sounding voice interactions. A solid foundation in digital signal processing and deep learning is essential.,Link
AI Marketing Assoc,Ad Agency,"New York, NY","Marketing,ChatGPT,Google Analytics,SEO,Copywriting",1,Use AI tools to optimize digital marketing campaigns and audience segmentation. You will analyze campaign performance data to identify opportunities for AI-driven automation. The role involves creating AI-generated content for social media and email marketing. You will stay updated on the latest AI trends in the advertising industry. This is a creative role that requires an analytical mindset and AI curiosity.,Link
Junior Data Eng (ML),Logistics Co,"Chicago, IL","ETL,SQL,Spark,Python,Airflow,Hadoop",2,"Build robust data pipelines that feed into predictive logistics and routing models. You will be responsible for data cleaning, transformation, and storage for ML training. The role involves working with real-time sensor data from trucks and warehouses. You will collaborate with data scientists to define feature engineering requirements. Experience with big data technologies like Spark and Hadoop is a plus.",Link
AI Ethics Auditor,Consulting,Remote,"Audit,AI Policy,Research,Python,Risk Assessment",2,"Conduct audits of AI systems to ensure fairness, transparency, and accountability. You will help clients identify potential biases in their automated decision-making processes. The role involves documenting compliance with emerging AI regulations and standards. You will work with technical teams to implement remediation strategies for identified risks. This role requires a blend of technical understanding and critical thinking.",Link
Machine Learning Eng,Fintech Startup,"San Francisco, CA","Python,Scikit-learn,SQL,Feature Engineering,A/B Testing",3,"Develop machine learning models for credit scoring and fraud detection. You will participate in the entire ML lifecycle, from data collection to production deployment. The role involves experimenting with different algorithms to improve model precision and recall. You will work in a fast-paced, collaborative environment with other financial experts. A Bachelor's degree in Computer Science or a quantitative field is required.",Link
AI Research Intern,Tech Giant,Remote,"Research,PyTorch,Python,LaTeX,Mathematics",1,"Assist in conducting cutting-edge research in areas such as NLP, CV, or RL. You will implement existing research papers and compare results with novel approaches. The role involves preparing datasets and running large-scale experiments on high-performance clusters. You will have the opportunity to work with world-class researchers and mentors. This internship is open to students pursuing a Master's or PhD in AI.",Link
Applied Scientist,Cloud Services,"Seattle, WA","Statistics,Python,SQL,Machine Learning,Causal Inference",2,Apply machine learning and statistical modeling to solve complex business problems. You will design and implement scalable solutions for forecasting and optimization. The role involves working with large datasets to extract meaningful insights and patterns. You will collaborate with engineering and product teams to deliver AI-driven features. A strong background in machine learning theory and application is essential.,Link
Prompt Engineer,Content Platform,Remote,"LLMs,Python,Writing,Prompt Engineering,Evaluation Frameworks",2,Design and refine prompts for large language models to generate high-quality content. You will experiment with different prompting techniques to optimize model outputs. The role involves analyzing model responses and identifying areas for improvement. You will work with content creators to understand their needs and develop effective prompts. Strong writing skills and a deep understanding of LLM capabilities are required.,Link
AI Technical Writer,AI Software Co,"San Francisco, CA","Documentation,Python,API Knowledge,Markdown,Git",3,"Create clear and concise technical documentation for AI products and APIs. You will work with engineers and product managers to understand complex technical concepts. The role involves writing developer guides, tutorials, and API references. You will ensure that the documentation is accurate, up-to-date, and easy to follow. A background in computer science and excellent writing skills are necessary.",Link
Data Analyst (ML),Health Tech,"Boston, MA","SQL,Python,Statistics,Tableau,Power BI",3,Analyze healthcare data to support the development and evaluation of ML models. You will perform exploratory data analysis and visualize trends for clinical stakeholders. The role involves identifying data quality issues and working with data engineers to resolve them. You will assist in building dashboards to track model performance in production. A strong interest in healthcare and data-driven decision-making is required.,Link
Junior AI Developer,EdTech Startup,Remote,"Python,AI APIs,JavaScript,REST APIs,FastAPI",1,Develop AI-powered features for an educational platform to personalize learning. You will work on integrating AI models for automated grading and content recommendation. The role involves experimenting with new AI tools and techniques to enhance the user experience. You will collaborate with teachers and students to gather feedback on AI features. This role is ideal for creative developers passionate about education and AI.,Link
